Trial,MAE,R2,Pearson_r,BAG_mean,BAG_std,Batch_size,PCA_Components
1,1.266980767250061,0.9890336394309998,0.994917793433277,-0.16496355763546705,2.1215133507745723,16,4
2,1.8610379695892334,0.9801509380340576,0.9923501090773196,-0.16496355763546705,2.1215133507745723,16,4
3,1.9410549402236938,0.979029655456543,0.9920762670037263,-0.16496355763546705,2.1215133507745723,16,4
4,1.6264212131500244,0.9864755868911743,0.9943771884592529,-0.16496355763546705,2.1215133507745723,16,4
5,1.317251443862915,0.9885361194610596,0.995728397753145,-0.16496355763546705,2.1215133507745723,16,4
6,1.9248591661453247,0.9760974645614624,0.9896922866834603,-0.16496355763546705,2.1215133507745723,16,4
7,1.4278632402420044,0.9875460863113403,0.9947966485465669,-0.16496355763546705,2.1215133507745723,16,4
8,1.2775614261627197,0.9916386008262634,0.9960882169951711,-0.16496355763546705,2.1215133507745723,16,4
9,2.040304183959961,0.9525608420372009,0.977235900798534,-0.16496355763546705,2.1215133507745723,16,4
10,1.592858910560608,0.9869863390922546,0.9947620329716855,-0.16496355763546705,2.1215133507745723,16,4
11,1.1895164251327515,0.9923462271690369,0.9967903292811092,-0.16496355763546705,2.1215133507745723,16,4
12,1.8697278499603271,0.9815875291824341,0.9938622148121347,-0.16496355763546705,2.1215133507745723,16,4
13,1.631932258605957,0.9844635128974915,0.9940802071699512,-0.16496355763546705,2.1215133507745723,16,4
14,1.316880464553833,0.9899342060089111,0.9954082359087364,-0.16496355763546705,2.1215133507745723,16,4
15,1.1691362857818604,0.9929622411727905,0.9970354299010691,-0.16496355763546705,2.1215133507745723,16,4
16,1.3947852849960327,0.989343523979187,0.9953165068742212,-0.16496355763546705,2.1215133507745723,16,4
17,1.4506322145462036,0.9878724813461304,0.9942701874787246,-0.16496355763546705,2.1215133507745723,16,4
18,1.3391109704971313,0.9894305467605591,0.9953646403817925,-0.16496355763546705,2.1215133507745723,16,4
19,1.5388442277908325,0.9874075055122375,0.9948918733111296,-0.16496355763546705,2.1215133507745723,16,4
20,1.5805339813232422,0.9796372056007385,0.9915097270584695,-0.16496355763546705,2.1215133507745723,16,4
