Feature,Importance
Skewness,0.054628055756520834
Kurtosis,0.049857635942538045
Slow_Fast,0.049716739871473146
Delta_Alpha,0.04911849462494382
Theta_Alpha,0.04866589759084271
sqrt_Alpha,0.04068234539681108
log_Gamma,0.04055222431481718
Gamma,0.039919579266295246
sqrt_Gamma,0.03986422959895681
Offset,0.03947057164311422
log_Delta,0.03939536008318614
Beta,0.03871430030580232
TotalPower,0.037816285815893885
Alpha,0.037803082592931865
Delta,0.03730367892490915
Theta,0.03700123997477392
Beta_Gamma,0.03668870818936853
sqrt_Beta,0.03652328642560915
log_Beta,0.036496464405322164
log_Alpha,0.03602309821954966
Slope,0.03563337377121986
sqrt_Theta,0.03523702225701205
sqrt_Delta,0.03502574755429637
log_Theta,0.03491072564903633
Alpha_Beta,0.03295185182477562
