Feature,Importance
Skewness,0.06991737922553487
Theta_Alpha,0.0675184167860332
Delta_Alpha,0.06604162048641243
Slow_Fast,0.06080978532481011
Kurtosis,0.05214387443035071
sqrt_Alpha,0.051817913994687104
Alpha,0.04379117867531228
log_Alpha,0.0410800551872962
Offset,0.04099593053860199
log_Delta,0.040715294709329206
log_Gamma,0.040337252697617586
Beta,0.040209880678132526
Gamma,0.039316352327206
Delta,0.0391033285666935
sqrt_Beta,0.03833607706901985
log_Beta,0.03756340129951097
TotalPower,0.036702534477367474
sqrt_Delta,0.03584727470246699
Theta,0.03525384376827538
sqrt_Gamma,0.03499209937890986
Beta_Gamma,0.03445199742929074
sqrt_Theta,0.03395639270744932
Slope,0.03191227601901969
log_Theta,0.03141412464015105
Alpha_Beta,0.02890052937118831
