Feature,Importance
Skewness,0.05397873864558748
Theta_Alpha,0.05298518232874925
Slow_Fast,0.049142612969434
Delta_Alpha,0.045651615984973734
Kurtosis,0.04474195725927675
TotalPower,0.042919239156227224
Offset,0.040844073406699224
Gamma,0.04069012680803764
log_Gamma,0.0404154291990457
log_Delta,0.04026303671073533
sqrt_Alpha,0.04013149772023298
Delta,0.039599594677676854
sqrt_Gamma,0.038807321923697256
Beta,0.03816684666306823
log_Beta,0.0373133586271149
Alpha,0.037085796378794444
sqrt_Theta,0.03689584299204859
Slope,0.03667089303424843
Theta,0.0366110284341713
log_Alpha,0.035838856926771696
log_Theta,0.0358106138415563
Beta_Gamma,0.03495961473735833
sqrt_Delta,0.034060138466068764
sqrt_Beta,0.0333598392797492
Alpha_Beta,0.03305674382867642
