Feature,Importance
Theta_Alpha,0.0781504546418543
Skewness,0.07214989183674272
Slow_Fast,0.06344952857048272
Delta_Alpha,0.06198423941717116
Offset,0.05423297078956753
sqrt_Alpha,0.05130149221570579
Kurtosis,0.05057730671566242
Beta,0.04658928951931222
log_Delta,0.04615274598676453
TotalPower,0.04593463102840083
Alpha,0.04504303695342763
log_Alpha,0.044209825272391715
Delta,0.04348466585390134
log_Gamma,0.041403579813365864
log_Beta,0.04019334956736683
Gamma,0.03982963580478786
sqrt_Delta,0.038625508547306966
Beta_Gamma,0.037743327434671216
Theta,0.03757430862032546
log_Theta,0.03531651309769327
sqrt_Theta,0.034976302840600146
sqrt_Beta,0.034476280392138445
Slope,0.03222155823897662
sqrt_Gamma,0.03202644859760735
Alpha_Beta,0.03198301252346791
